id,sold_price,predicted_price
469729,175000,359038.13034375006
705456,435000,430258.9269375
230786,223000,226194.6628125
1873573,320000,299201.9291875
492347,500000,498526.84699999995
530591,145000,150876.73359375002
584225,485000,467529.93624999997
313276,198000,194023.67962500002
1466575,580000,538745.78
363570,90000,88546.25717968751
477148,250000,250538.761640625
516573,145000,200229.16374999998
1198702,231000,229583.592375
1527567,320000,320160.05729687505
1168926,250000,276578.33296875
1612945,556810,541482.7810000001
1862099,252000,262422.16101562505
747228,627225,625131.908625
1178731,303000,300905.1155
931407,175000,232825.534953125
1680939,672027,665404.7585625
412267,225000,226506.5683125
1708844,220000,193090.14715625
615417,335000,357655.08625
1524796,105000,104901.39
556836,192000,203712.92578125
1542763,675000,677608.001125
1592629,236000,254826.17578125
1870808,205000,229250.37187499998
1581793,400000,392329.6065
1839186,205000,219349.30209375
797962,330000,353740.2978125
211271,708000,704922.93625
279159,1850000,1851847.03175
1557981,230000,231560.730625
99421,330000,330018.7584375
1360645,240000,233269.064765625
789767,210000,207664.875
42696,335000,332236.718
614507,325000,322485.41675000003
455280,178550,174514.92839843754
553090,271500,274468.16775
825214,320000,318119.926875
1518343,177000,173942.62945312497
1239657,195000,195534.27646875
1511192,100000,246432.00278125
1294076,760000,762052.5922499999
351322,335000,317027.59725
618066,255000,219217.80074999997
996218,385000,382835.2646875
1192928,140000,150201.21953125
31907,150000,161261.714109375
1087132,730000,729483.419625
980556,841000,874463.425375
1413430,300000,355692.12890625
825583,250000,250461.870625
1125169,352000,379256.965625
825688,304000,292640.7541875
499923,320000,308109.286875
719413,300000,297388.7753125
1783177,597500,588339.3197499999
713897,385000,291977.38390625
889409,855000,854542.695375
1238542,175000,182734.781625
964338,238942,237310.6594375
1261274,605000,605791.1750625
424525,118000,116878.16359375
412120,169251,236614.26825
516027,268000,276378.60909375
599669,740000,734670.8565625
645489,285000,296423.6831875
926325,190000,192641.05437499998
664416,650000,649534.2790625001
1768916,186000,180008.90314062499
1008783,268500,483019.28024999995
222003,240000,245389.16015625
142268,500000,490357.76718749997
302599,555000,557236.077125
1581063,277500,276864.873046875
415945,367000,359141.28046875005
766763,276000,273754.036171875
880784,128500,126855.521953125
241860,247000,252174.57306249999
1419901,481000,486695.94187499996
219155,760000,753451.373125
1913661,225500,217916.64562500003
880776,650000,657114.0868125
1621248,623000,619503.285375
706604,265000,272487.93584374996
881951,242500,303046.66931250005
1360000,460000,448525.75924999994
1816012,280000,263106.98479687504
499976,577000,575454.0847499999
983539,265000,260344.554875
622684,775000,788290.9287500001
1771892,780000,766248.4237500001
81262,443500,430762.668125
1794895,275000,272689.35271874996
827718,452000,457954.11165624997
1413432,360000,369732.35375
1870300,535500,538409.0390625
1042097,352000,379381.93987500004
104381,465000,459012.2016875
1855001,470000,449281.69062500005
1520049,250000,244780.86796875
682715,250860,251492.630390625
1132802,250000,265191.846796875
583891,175000,187124.98828125
1201511,210000,210940.15540625
19798,313000,306188.345109375
1628122,211000,209962.7640625
1429699,240000,263891.31184375
1276572,425000,422878.514625
317812,310000,302963.3930625
1006575,310000,315499.36193749995
1916441,950000,947183.2479375
1569675,108800,118162.122125
569086,290000,279668.1988125
301827,268000,264144.0860625
987492,820000,797627.7065625
187836,200000,196449.67525000003
827527,167250,151713.0771875
1749624,982000,981610.4512500002
1185003,226000,210227.43881249998
1254816,300000,298455.4129375
957047,265000,247425.88203125002
1763679,330000,327889.766875
1018846,770000,769686.267
728139,300000,391874.53375
705185,295000,280056.99799999996
679862,460000,475510.35187500005
359213,360000,351529.81875
408254,125000,174711.453046875
1649703,2075000,2068301.27275
870972,400000,403839.76425000007
1322081,302000,300402.6519375
1512430,215000,216058.7979375
393251,547000,543203.384625
103579,245000,246441.65028125
690557,195000,190359.22890625
919061,170000,170237.0625
1505217,575000,634743.1392187501
145690,327711,327292.21050000004
66570,226000,223642.88296875
622558,235000,224271.93587499997
1424837,252000,251119.716375
1550575,182000,174573.8044375
1072449,485000,482827.25325
1419865,350000,340042.976875
490086,351000,332960.34500000003
50584,310000,318638.43549999996
629413,325000,287456.84825
828209,495000,492021.25875
603912,85000,97134.176359375
1883902,100000,206193.54343750002
1809599,210000,211759.56059375
1337835,1400000,1397755.546875
1646715,440000,428276.53987499996
162864,395000,386241.710625
1701369,450000,430735.9896875
356237,500000,497536.5871875
1215875,70000,65827.8742890625
1010999,275000,267653.4525
1162151,600000,586891.231875
163816,250000,207877.417734375
1112717,236000,242629.71562499998
1542745,120000,312033.95453125
1116563,337500,339222.9375
858019,125000,149189.25246875
480997,348458,236614.26825
1794671,444258,454026.8996875
1132811,300000,311825.955625
477039,185000,184620.02751562497
934126,250000,258301.29931250002
1413366,267000,356438.3905
741195,82750,107359.2490546875
1063598,420000,418004.75512499997
835596,285000,271668.6275
991372,150000,148919.0800078125
889598,373000,369509.810625
1877711,369000,380210.530625
12454,104000,106848.80803125001
542904,825000,819696.445125
